index,layer,start_time_nsec,bandwidth(kb/s)
0,0,98102525837,2549.5976416221815
1,0,98102528754,3608.8868839517313
2,0,98102531171,6413.689378609704
3,0,98102532379,73394.49541284403
4,0,98096083212,1460.2313298472745
5,0,98096088046,2099.737532808399
6,0,98096092421,3703.8477422270125
7,0,98096094379,37840.08778900367
8,0,93055127252,2378.2919604640433
9,0,93055132377,3341.7014940181807
10,0,93055145335,6020.104362039668
11,0,93055148293,116226.21677961339
12,0,93028379585,409.193200416129
13,0,93028387627,487.1736317271828
14,0,93028407877,1543.9544533436263
15,0,93028412002,18816.18003321056
16,0,85550584623,4219.222355127727
17,0,85550585790,6224.072846548596
18,0,85550587331,11366.316489399489
19,0,85550587748,125490.19607843137
20,0,85548299040,4234.484583829561
21,0,85548299706,5988.768065493168
22,0,85548300706,11067.548012406722
23,0,85548301040,310679.6116504854
24,0,85545933915,4200.5775794171695
25,0,85545934498,6233.762995447795
26,0,85545935373,11165.387299371947
27,0,85545935831,184971.09826589594
28,0,85543499956,4341.139787957027
29,0,85543500623,6462.035541195477
30,0,85543501498,11656.132436976748
31,0,85543501956,323232.3232323233
32,0,85540821290,3788.1801203883642
33,0,85540823956,5166.843846353565
34,0,85540826206,8566.062545105673
35,0,85540827123,114285.71428571429
36,0,85533194540,1226.962626411659
37,0,85533198248,1602.7779347164505
38,0,85533201290,3030.590017994128
39,0,85533203081,63241.106719367584
40,0,78840803537,2768.5665262311295
41,0,78840805495,3959.9059522336347
42,0,78840807703,7171.671896010758
43,0,78840808953,86641.97370416098
44,0,78837335787,2987.0251096798283
45,0,78837336620,4308.408829222214
46,0,78837338328,8050.978797747335
47,0,78837339370,129731.13222845652
48,0,78833776578,2651.0537275803704
49,0,78833779495,3703.7037037037035
50,0,78833781537,6173.239623555847
51,0,78833782745,74303.8656586109
52,0,88124713124,4346.356996059848
53,0,88124714666,5188.231479600607
54,0,88124716249,6231.193700270558
55,0,88106387958,11806.906421171076
56,0,88106389708,12347.627763440185
57,0,88106390874,13010.080621578627
58,0,88090130708,11009.645047326558
59,0,88090132124,11522.926923024494
60,0,88090133583,12275.315024405967
61,0,88069157166,17138.907178557973
62,0,88069159166,17648.412517458517
63,0,88069160333,18277.49435615273
64,0,88047098249,12055.413878179254
65,0,88047100499,12368.501517215755
66,0,88047102166,13620.351684310644
67,0,88023013374,12694.601290619958
68,0,88023016666,14489.230806494692
69,0,88023019541,15790.916518548247
70,0,88004698624,6113.5472829171395
71,0,88004700916,6961.437759194247
72,0,88004703791,8068.110762558818
73,0,87975714291,10621.693590288602
74,0,87975716249,16034.788576725612
75,0,87975717791,17808.717688617355
76,0,87954931249,17446.294455489286
77,0,87954932833,18055.01561787212
78,0,87954933833,18892.05632738198
79,0,87939140166,10293.119275661791
80,0,87939141999,10905.134472439755
81,0,87939143249,11688.589015902207
82,0,87923326624,11137.737776096046
83,0,87923328874,11727.612527611851
84,0,87923330291,12563.656189606732
85,0,87903406458,13993.76578099752
86,0,87903410124,14584.45624993847
87,0,87903412791,15415.984854003205
88,0,87884717083,2932.3146451354505
89,0,87884729583,3265.1429588617307
90,0,87884741208,4364.579572680429
91,0,83507696414,0.0
92,0,83507712164,0.12893403528460384
93,0,83507729372,0.18838163812283973
94,0,83507734164,2.1447215554330565
95,0,83494478039,0.0
96,0,83494486372,196.84825452957156
97,0,83494494539,325.72066196030283
98,0,83494498580,1756.7873122138785
