index,layer,operation,exec_time
0,0,idle,2833724584
1,0,read,2917
2,0,read,2042
3,0,read,1208
4,0,read,53833
5,0,read,592917
6,0,read,430000
7,0,read,425917
8,0,idle,2050375
9,0,read,833
10,0,read,1708
11,0,read,1042
12,0,read,30833
13,0,read,464959
14,0,read,429875
15,0,read,409875
16,0,idle,2128625
17,0,read,1958
18,0,read,2208
19,0,read,1250
20,0,read,46167
21,0,read,510333
22,0,read,450167
23,0,read,432708
24,0,idle,4652229711
25,0,write,8333
26,0,write,8167
27,0,write,4041
28,0,write,453042
29,0,write,1986417
30,0,write,1591541
31,0,write,2856167
32,0,idle,6310667
33,0,write,15750
34,0,write,17208
35,0,write,4792
36,0,write,455333
37,0,write,4723833
38,0,write,2372959
39,0,write,1560458
40,0,idle,2016347793
41,0,read,3708
42,0,read,3042
43,0,read,1791
44,0,read,63250
45,0,read,1254834
46,0,read,1172750
47,0,read,760708
48,0,idle,4366667
49,0,read,2666
50,0,read,2250
51,0,read,917
52,0,read,35000
53,0,read,431042
54,0,read,304958
55,0,read,279083
56,0,idle,1622750
57,0,read,667
58,0,read,875
59,0,read,458
60,0,read,12375
61,0,read,330334
62,0,read,274958
63,0,read,301750
64,0,idle,1512542
65,0,read,583
66,0,read,875
67,0,read,458
68,0,read,21625
69,0,read,336167
70,0,read,282542
71,0,read,310000
72,0,idle,1412875
73,0,read,666
74,0,read,1000
75,0,read,334
76,0,read,12875
77,0,read,348208
78,0,read,305500
79,0,read,276042
80,0,idle,1340958
81,0,read,1167
82,0,read,1541
83,0,read,417
84,0,read,31875
85,0,read,319625
86,0,read,289208
87,0,read,304209
88,0,idle,2333184418
89,0,write,12500
90,0,write,11625
91,0,write,7617250
92,0,write,2553250
93,0,write,1143208
94,0,idle,7351542
95,0,write,3666
96,0,write,2667
97,0,write,12012250
98,0,write,682208
99,0,write,532292
100,0,idle,6687083
101,0,write,2250
102,0,write,1417
103,0,write,8639208
104,0,write,614459
105,0,write,487916
106,0,idle,6068292
107,0,write,1833
108,0,write,1250
109,0,write,7884125
110,0,write,565167
111,0,write,500625
112,0,idle,6838083
113,0,write,1584
114,0,write,1000
115,0,write,13064250
116,0,write,604666
117,0,write,475375
118,0,idle,6636167
119,0,write,1958
120,0,write,1542
121,0,write,7891917
122,0,write,871541
123,0,write,4464917
124,0,idle,15752458
125,0,write,2292
126,0,write,2875
127,0,write,6675708
128,0,write,1058375
129,0,write,1070750
130,0,idle,9504750
131,0,write,3292
132,0,write,2875
133,0,write,10900625
134,0,write,976417
135,0,write,1676166
136,0,idle,10525500
137,0,write,2250
138,0,write,1667
139,0,write,14663833
140,0,write,1482500
141,0,write,417125
142,0,idle,5491542
143,0,write,2000
144,0,write,1167
145,0,write,14230541
146,0,write,506084
147,0,write,436125
148,0,idle,5797625
149,0,write,1416
150,0,write,1459
151,0,write,7712458
152,0,write,502125
153,0,write,381625
154,0,idle,7658167
155,0,write,1750
156,0,write,1166
157,0,write,10686500
158,0,write,572167
159,0,write,513917
160,0,idle,6549666
161,0,write,1542
162,0,write,1583
163,0,write,6660667
164,0,write,1337375
165,0,write,1547958
166,0,idle,4894117336
167,0,read,8042
168,0,read,20250
169,0,read,4125
170,0,read,425166
171,0,read,4752209
172,0,read,11219500
173,0,read,3121375
174,0,idle,7197000
175,0,read,5125
176,0,read,12958
177,0,read,2958
178,0,read,64042
179,0,read,1169417
180,0,read,978041
181,0,read,897167
182,0,idle,5037826252
183,0,read,4834
184,0,read,4375
185,0,read,1958
186,0,read,105708
187,0,read,972292
188,0,read,820667
189,0,read,829458
190,0,idle,3703333
191,0,read,2917
192,0,read,2417
193,0,read,1208
194,0,read,54500
195,0,read,567958
196,0,read,482292
197,0,read,457583
